name,vendor,link,price,description,characteristics,reviews,combined_info,category,price_log
Contrôleur Leap Motion 2 Ultraleap,Ultraleap,https://eu.robotshop.com//fr/products/controleur-leap-motion-2-ultraleap#,250.07,"la deuxième génération de la caméra de suivi des mains emblématique d'ultraleap vous permet d'utiliser vos propres mains dans les mondes numériques. le contrôleur leap motion 2 ultraleap est le matériel idéal pour découvrir le suivi des mains de classe mondiale d'ultraleap, apportant des interactions 3d à vos applications pc préférées et vous permettant d'abandonner les contrôleurs en réalité virtuelle. c'est la caméra la plus flexible jamais développée par ultraleap. compatible avec windows, macos, android xr2 et le matériel complémentaire, y compris les casques xr, les pc et les écrans holographiques. alimentée par le logiciel de suivi des mains d'ultraleap, cette caméra peut détecter et identifier avec précision 27 éléments distincts de la main, y compris les os et les articulations, et les suivre de manière transparente même lorsqu'ils sont cachés par d'autres parties de votre main.  que vous exploriez des mondes immersifs, conceviez des modèles 3d ou expérimentiez des applications de pointe, le leap motion controller 2 ouvre un nouveau champ de possibilités d'interactions intuitives et immersives. faites l'expérience d'un tout nouveau niveau d'interactivité et de contrôle alors que votre monde virtuel prend vie. voici la différence de taille par rapport au leap motion controller original :  support de casque xr disponible séparément : ajoutez facilement le meilleur suivi des mains au monde à votre casque avec le support de casque xr pour le leap motion controller 2. la conception flexible unique du support offre un ajustement sûr au visage des casques xr les plus populaires.  exemples d'applications :","alimentation électrique requise : 5vdc via usb, 500 ma connexion de données : usb 3.0 via un connecteur usb de type c plage de suivi et champ de vision : profondeur comprise entre 10 cm (4"") et 110 cm (43"") ; champ de vision de 160° x 160°. fréquence d'images de la caméra : 115 fps maximum longueur d'onde : 850 nm construction : aluminium et verre résistant aux rayures température de fonctionnement : 0°c à 40°c (32°f à 104°f) température de stockage : -30°c à 60°c (-22°f à 140°) conformité : ce, fcc, ukca, ccc, kc, pse, rcm a-nz, rohs, reach systèmes d'exploitation compatibles : windows, android pour xr2, macos (bientôt)",0.0,"description: la deuxième génération de la caméra de suivi des mains emblématique d'ultraleap vous permet d'utiliser vos propres mains dans les mondes numériques. le contrôleur leap motion 2 ultraleap est le matériel idéal pour découvrir le suivi des mains de classe mondiale d'ultraleap, apportant des interactions 3d à vos applications pc préférées et vous permettant d'abandonner les contrôleurs en réalité virtuelle. c'est la caméra la plus flexible jamais développée par ultraleap. compatible avec windows, macos, android xr2 et le matériel complémentaire, y compris les casques xr, les pc et les écrans holographiques. alimentée par le logiciel de suivi des mains d'ultraleap, cette caméra peut détecter et identifier avec précision 27 éléments distincts de la main, y compris les os et les articulations, et les suivre de manière transparente même lorsqu'ils sont cachés par d'autres parties de votre main.  que vous exploriez des mondes immersifs, conceviez des modèles 3d ou expérimentiez des applications de pointe, le leap motion controller 2 ouvre un nouveau champ de possibilités d'interactions intuitives et immersives. faites l'expérience d'un tout nouveau niveau d'interactivité et de contrôle alors que votre monde virtuel prend vie. voici la différence de taille par rapport au leap motion controller original :  support de casque xr disponible séparément : ajoutez facilement le meilleur suivi des mains au monde à votre casque avec le support de casque xr pour le leap motion controller 2. la conception flexible unique du support offre un ajustement sûr au visage des casques xr les plus populaires.  exemples d'applications : | caractéristiques: alimentation électrique requise : 5vdc via usb, 500 ma connexion de données : usb 3.0 via un connecteur usb de type c plage de suivi et champ de vision : profondeur comprise entre 10 cm (4"") et 110 cm (43"") ; champ de vision de 160° x 160°. fréquence d'images de la caméra : 115 fps maximum longueur d'onde : 850 nm construction : aluminium et verre résistant aux rayures température de fonctionnement : 0°c à 40°c (32°f à 104°f) température de stockage : -30°c à 60°c (-22°f à 140°) conformité : ce, fcc, ukca, ccc, kc, pse, rcm a-nz, rohs, reach systèmes d'exploitation compatibles : windows, android pour xr2, macos (bientôt) | prix: 5.53",contrôleur,5.525731784712892
Contrôleur Leap Motion,Ultraleap,https://eu.robotshop.com//fr/products/controleur-leap-motion#,144.93,"le contrôleur leap motion est un module de suivi optique des mains qui capture le mouvement des mains et des doigts des utilisateurs afin qu'ils puissent interagir naturellement avec le contenu numérique. petit, rapide et précis, il peut être utilisé pour des applications de productivité avec des ordinateurs windows, intégré dans des solutions matérielles ou des écrans de niveau entreprise, ou attaché à des casques de réalité virtuelle / augmentée pour le prototypage, la recherche et le développement ar / vr / xr. le contrôleur est capable de suivre les mains dans une zone interactive 3d qui s'étend jusqu'à 60 cm (24 ”) ou plus, s'étendant de l'appareil dans un champ de vision de 120 x 150 °. le logiciel de leap motion est capable de discerner 27 éléments de main distincts, y compris les os et les articulations, et de les suivre même lorsqu'ils sont masqués par d'autres parties de la main. alors, tendez la main et voyez ce que vous avez manqué avec votre casque de réalité virtuelle préféré. le contrôleur leap motion propose désormais un suivi v4 massivement mis à jour et trois nouvelles démos - particles, paint et cat explorer!  obtenez le contrôleur leap motion pour jouer, explorer et créer avec des applications de bureau héritées sur la galerie leap motion, ou commencez à créer votre propre projet vr sur oculus rift ou htc vive.  leap motion pour la réalité virtuelle accédez à de nouveaux mondes virtuels et familiarisez-vous avec la réalité virtuelle. avec un contrôleur leap motion monté à l'avant de votre casque vr et le suivi des mains leap motion, vous pouvez toucher et interagir avec des objets en réalité virtuelle comme vous le feriez dans le monde réel - simplement en utilisant vos mains.  leap motion sur votre bureau si vous n'êtes pas prêt à plonger dans la réalité virtuelle, utilisez le contrôleur leap motion sur votre bureau, à côté de votre souris et de votre clavier, pour un niveau supplémentaire d'interactivité 3d. avec les applications de la galerie leap motion, vous pouvez créer de la musique, en savoir plus sur les tremblements de terre, jouer à des jeux, etc.  le contrôleur leap motion est certifié conforme aux normes réglementaires de sécurité et électriques. sa robustesse et sa certification externe permettent des projets commerciaux, y compris des environnements stériles. téléchargez des applications gratuites sur la galerie d'applications leap motion: applications vr pour casques tels que l'oculus rift et htc, ainsi que 75+ applications de bureau héritées (ne sont plus mises à jour) l'interface leapuvc expérimentale ouvre l'accès à des contrôles de bas niveau tels que la luminosité des led, le gamma, l'exposition, le gain, la résolution, etc. utilisez le contrôleur leap motion pour suivre des objets physiques, capturer des images infrarouges à haute vitesse ou voir le monde de nouvelles façons.","fov: 150x120 degrés portée: variable (sans lien de dépendance, jusqu'à environ 80 cm) poids: 32 grammes caméras: 2x 640x240 infrarouges fréquence d'images: 120 ips poids: 32 g / 1,15 oz windows® 7+, mac os x 10.7 lion (support hérité) processeur amd phenom ™ ii ou intel® core ™ i3 / i5 / i7 2 go de ram port usb 2.0 connexion internet sdk orion compatible avec windows 7 ou plus récent. construisez avec mac, linux ou le suivi d'outils à l'aide du sdk v2 desktop windows 7 sp1 64 bits ou plus récent intel core i5-4590 équivalent ou supérieur 8 go + ram 3 ports usb 3.0 nvidia gtx 970 / amd r9 290 équivalent ou supérieur avec sortie vidéo hdmi 1.3 compatible température de fonctionnement: 32 à 113 ºf (0 à 45 ºc) température de stockage: 14 à 122 ºf (-10 à 50 ºc) humidité relative: 5% à 85% (sans condensation) altitude de fonctionnement: 0 à 10 000 pieds (0 à 3048 mètres)",4.74,"description: le contrôleur leap motion est un module de suivi optique des mains qui capture le mouvement des mains et des doigts des utilisateurs afin qu'ils puissent interagir naturellement avec le contenu numérique. petit, rapide et précis, il peut être utilisé pour des applications de productivité avec des ordinateurs windows, intégré dans des solutions matérielles ou des écrans de niveau entreprise, ou attaché à des casques de réalité virtuelle / augmentée pour le prototypage, la recherche et le développement ar / vr / xr. le contrôleur est capable de suivre les mains dans une zone interactive 3d qui s'étend jusqu'à 60 cm (24 ”) ou plus, s'étendant de l'appareil dans un champ de vision de 120 x 150 °. le logiciel de leap motion est capable de discerner 27 éléments de main distincts, y compris les os et les articulations, et de les suivre même lorsqu'ils sont masqués par d'autres parties de la main. alors, tendez la main et voyez ce que vous avez manqué avec votre casque de réalité virtuelle préféré. le contrôleur leap motion propose désormais un suivi v4 massivement mis à jour et trois nouvelles démos - particles, paint et cat explorer!  obtenez le contrôleur leap motion pour jouer, explorer et créer avec des applications de bureau héritées sur la galerie leap motion, ou commencez à créer votre propre projet vr sur oculus rift ou htc vive.  leap motion pour la réalité virtuelle accédez à de nouveaux mondes virtuels et familiarisez-vous avec la réalité virtuelle. avec un contrôleur leap motion monté à l'avant de votre casque vr et le suivi des mains leap motion, vous pouvez toucher et interagir avec des objets en réalité virtuelle comme vous le feriez dans le monde réel - simplement en utilisant vos mains.  leap motion sur votre bureau si vous n'êtes pas prêt à plonger dans la réalité virtuelle, utilisez le contrôleur leap motion sur votre bureau, à côté de votre souris et de votre clavier, pour un niveau supplémentaire d'interactivité 3d. avec les applications de la galerie leap motion, vous pouvez créer de la musique, en savoir plus sur les tremblements de terre, jouer à des jeux, etc.  le contrôleur leap motion est certifié conforme aux normes réglementaires de sécurité et électriques. sa robustesse et sa certification externe permettent des projets commerciaux, y compris des environnements stériles. téléchargez des applications gratuites sur la galerie d'applications leap motion: applications vr pour casques tels que l'oculus rift et htc, ainsi que 75+ applications de bureau héritées (ne sont plus mises à jour) l'interface leapuvc expérimentale ouvre l'accès à des contrôles de bas niveau tels que la luminosité des led, le gamma, l'exposition, le gain, la résolution, etc. utilisez le contrôleur leap motion pour suivre des objets physiques, capturer des images infrarouges à haute vitesse ou voir le monde de nouvelles façons. | caractéristiques: fov: 150x120 degrés portée: variable (sans lien de dépendance, jusqu'à environ 80 cm) poids: 32 grammes caméras: 2x 640x240 infrarouges fréquence d'images: 120 ips poids: 32 g / 1,15 oz windows® 7+, mac os x 10.7 lion (support hérité) processeur amd phenom ™ ii ou intel® core ™ i3 / i5 / i7 2 go de ram port usb 2.0 connexion internet sdk orion compatible avec windows 7 ou plus récent. construisez avec mac, linux ou le suivi d'outils à l'aide du sdk v2 desktop windows 7 sp1 64 bits ou plus récent intel core i5-4590 équivalent ou supérieur 8 go + ram 3 ports usb 3.0 nvidia gtx 970 / amd r9 290 équivalent ou supérieur avec sortie vidéo hdmi 1.3 compatible température de fonctionnement: 32 à 113 ºf (0 à 45 ºc) température de stockage: 14 à 122 ºf (-10 à 50 ºc) humidité relative: 5% à 85% (sans condensation) altitude de fonctionnement: 0 à 10 000 pieds (0 à 3048 mètres) | prix: 4.98",contrôleur,4.983127054679654
Support pour casque XR pour contrôleur Leap Motion 2 Ultraleap,Ultraleap,https://eu.robotshop.com//fr/products/support-pour-casque-xr-pour-controleur-leap-motion-2-ultraleap#,23.05,"ajoutez facilement le meilleur suivi des mains au monde à votre casque avec le support de casque xr pour le leap motion controller 2 . la conception flexible unique du support offre un ajustement sûr au visage des casques xr les plus populaires de pico, htc, varjo et plus encore.  leap motion controller 2 disponible séparément : la deuxième génération de la caméra de suivi des mains emblématique d'ultraleap vous permet d'utiliser vos propres mains dans les mondes numériques. le leap motion controller 2 est le matériel idéal pour découvrir le suivi des mains de classe mondiale d'ultraleap, apportant des interactions 3d à vos applications pc préférées et vous permettant d'abandonner les contrôleurs dans la réalité virtuelle. c'est la caméra la plus flexible jamais développée par ultraleap. compatible avec windows, android xr2 et macos, et matériel complémentaire, y compris les casques xr, les pc et les écrans holographiques.","angle d'inclinaison vers le bas : 15° matière : pa2200 polyamide 12 (nylon 12) adhésif de montage : ruban nano réutilisable spécifications du câble usb : usb c à angle droit – usb 3.0, longueur 22 cm",0.0,"description: ajoutez facilement le meilleur suivi des mains au monde à votre casque avec le support de casque xr pour le leap motion controller 2 . la conception flexible unique du support offre un ajustement sûr au visage des casques xr les plus populaires de pico, htc, varjo et plus encore.  leap motion controller 2 disponible séparément : la deuxième génération de la caméra de suivi des mains emblématique d'ultraleap vous permet d'utiliser vos propres mains dans les mondes numériques. le leap motion controller 2 est le matériel idéal pour découvrir le suivi des mains de classe mondiale d'ultraleap, apportant des interactions 3d à vos applications pc préférées et vous permettant d'abandonner les contrôleurs dans la réalité virtuelle. c'est la caméra la plus flexible jamais développée par ultraleap. compatible avec windows, android xr2 et macos, et matériel complémentaire, y compris les casques xr, les pc et les écrans holographiques. | caractéristiques: angle d'inclinaison vers le bas : 15° matière : pa2200 polyamide 12 (nylon 12) adhésif de montage : ruban nano réutilisable spécifications du câble usb : usb c à angle droit – usb 3.0, longueur 22 cm | prix: 3.18",contrôleur,3.1801349965517702
Contrôleur de Moteur Intelligent 2 Canaux 30A SmartDriveDuo,Cytron,https://eu.robotshop.com//fr/products/controleur-moteur-intelligent-2-canaux-30a-smartdriveduo#,87.94,"le contrôleur de moteur intelligent 2 canaux 30a smartdriveduo est l'un des tous derniers contrôleurs de moteur sériels intelligents conçus pour actionner un moteur cc à balais de puissance moyenne, avec une capacité de courant allant jusqu'à 80 a en crête et 30 a en continu. ce contrôleur est conçu spécialement pour contrôler un robot mobile à entraînement différentiel à l'aide d'un contrôleur rc. cependant, le mdds30 peut également être contrôlé à l'aide d'un joystick ou d'un microcontrôleur analogique (mli, sériel).  les mosfet sont commutés à 18 khz pour assurer un fonctionnement silencieux sans gémissement gênant. en outre, il est également équipé d'une unité microcontrôleur pour fournir des fonctionnalités intelligentes telles que des modes d'entrée multiples, la protection de la limite de courant et la protection thermique.  caractéristiques :","entrée compatible : 3,3 et 5 v canaux de moteur : 2 tension nominale (vcc) : 7 à 35 courant de crête (a) : 80 courant continu (a) : 30 blindage arduino : non mli (verrouillée en opposition de phase et à signe-magnitude) : oui uart : oui analogique : oui signal de servomoteur rc : oui protection contre la polarité : non protection du courant/thermique : oui indicateur del : oui bouton de test/manuel : oui autres caractéristiques autres : compatible groove",4.71,"description: le contrôleur de moteur intelligent 2 canaux 30a smartdriveduo est l'un des tous derniers contrôleurs de moteur sériels intelligents conçus pour actionner un moteur cc à balais de puissance moyenne, avec une capacité de courant allant jusqu'à 80 a en crête et 30 a en continu. ce contrôleur est conçu spécialement pour contrôler un robot mobile à entraînement différentiel à l'aide d'un contrôleur rc. cependant, le mdds30 peut également être contrôlé à l'aide d'un joystick ou d'un microcontrôleur analogique (mli, sériel).  les mosfet sont commutés à 18 khz pour assurer un fonctionnement silencieux sans gémissement gênant. en outre, il est également équipé d'une unité microcontrôleur pour fournir des fonctionnalités intelligentes telles que des modes d'entrée multiples, la protection de la limite de courant et la protection thermique.  caractéristiques : | caractéristiques: entrée compatible : 3,3 et 5 v canaux de moteur : 2 tension nominale (vcc) : 7 à 35 courant de crête (a) : 80 courant continu (a) : 30 blindage arduino : non mli (verrouillée en opposition de phase et à signe-magnitude) : oui uart : oui analogique : oui signal de servomoteur rc : oui protection contre la polarité : non protection du courant/thermique : oui indicateur del : oui bouton de test/manuel : oui autres caractéristiques autres : compatible groove | prix: 4.49",contrôleur,4.48796198508255
Contrôleur de Moteur Regénératif Sabertooth 2x32A 6V-24V Dimension Engineering,Dimension Engineering,https://eu.robotshop.com//fr/products/controleur-moteur-regeneratif-sabertooth-2x32a-6v-24v-dimension-engineering#,133.58,"le contrôleur de moteur régénératif sabertooth 2x32 a 6 v-32 v dimension engineering est un contrôleur de moteur à double canal capable d'alimenter deux moteurs en 32 ampères, avec jusqu'à 64 ampères de courant de crête par moteur. il peut être géré depuis une entrée radiocommandée, analogique, série ttl ou usb. il utilise un contrôleur et le freinage régénératif pour un fonctionnement efficace. un grand nombre de modes d'exploitation, dont le mixage de type tank et l'étalonnage automatique, permettent à la plupart des projets d'être opérationnels dès la sortie de la boîte.   en plus des modes de fonctionnement standard, sabertooth 2x32 dispose d'entrées de signal et de sorties de puissance supplémentaires, ainsi que d'options de configuration améliorées. les modes de fonctionnement définis par l'utilisateur permettent des opérations personnalisées, telles que la commutation entre la radiocommande et les entrées pilotées par ordinateur à la volée, les arrêts d'urgence ou les dérogations aux commandes du panneau avant. les sorties d'alimentation auxiliaire peuvent être configurées pour permettre au sabertooth 2x32 de fonctionner à partir d'une alimentation sans batterie parallèle, ou de contrôler automatiquement les freins électromagnétiques. associé au module de contrôle de mouvement kangaroo x2 de dimension engineering, le sabertooth 2x32 peut être utilisé pour le contrôle de position ou de vitesse en boucle fermée avec un encodeur ou un retour analogique. l'état du pilote peut être contrôlé en temps réel à l'aide du port usb dans n'importe quel mode de fonctionnement, ce qui rend le débogage de votre projet plus rapide et plus facile. sabertooth 2x32 est plus flexible, plus robuste et plus puissant que les pilotes de moteurs précédents, tout en étant plus facile à utiliser.","32a continu, 64a crête par canal tension : de 6 à 30 v nominal, 33,6 v de maximum absolu conduite régénérative synchrone fréquence de commutation ultrasonique de 30 khz protection thermique et contre les surintensités mode de protection de la batterie contrôle et surveillance par usb mode convertisseur série usb pour kangaroo x2 limitation de courant configurable modes utilisateur personnalisés sorties moteur 12 bits modes d'entrée : analogique, r/c, série (texte clair ou paqueté), usb les sorties de puissance peuvent agir comme des étrangleurs de tension, des freins, ou être contrôlables robots de combat jusqu'à 100lb robots normaux et de loisir jusqu'à 300lb robots à entraînement différentiel véhicules électriques, jouets porteurs, trottinettes",4.85,"description: le contrôleur de moteur régénératif sabertooth 2x32 a 6 v-32 v dimension engineering est un contrôleur de moteur à double canal capable d'alimenter deux moteurs en 32 ampères, avec jusqu'à 64 ampères de courant de crête par moteur. il peut être géré depuis une entrée radiocommandée, analogique, série ttl ou usb. il utilise un contrôleur et le freinage régénératif pour un fonctionnement efficace. un grand nombre de modes d'exploitation, dont le mixage de type tank et l'étalonnage automatique, permettent à la plupart des projets d'être opérationnels dès la sortie de la boîte.   en plus des modes de fonctionnement standard, sabertooth 2x32 dispose d'entrées de signal et de sorties de puissance supplémentaires, ainsi que d'options de configuration améliorées. les modes de fonctionnement définis par l'utilisateur permettent des opérations personnalisées, telles que la commutation entre la radiocommande et les entrées pilotées par ordinateur à la volée, les arrêts d'urgence ou les dérogations aux commandes du panneau avant. les sorties d'alimentation auxiliaire peuvent être configurées pour permettre au sabertooth 2x32 de fonctionner à partir d'une alimentation sans batterie parallèle, ou de contrôler automatiquement les freins électromagnétiques. associé au module de contrôle de mouvement kangaroo x2 de dimension engineering, le sabertooth 2x32 peut être utilisé pour le contrôle de position ou de vitesse en boucle fermée avec un encodeur ou un retour analogique. l'état du pilote peut être contrôlé en temps réel à l'aide du port usb dans n'importe quel mode de fonctionnement, ce qui rend le débogage de votre projet plus rapide et plus facile. sabertooth 2x32 est plus flexible, plus robuste et plus puissant que les pilotes de moteurs précédents, tout en étant plus facile à utiliser. | caractéristiques: 32a continu, 64a crête par canal tension : de 6 à 30 v nominal, 33,6 v de maximum absolu conduite régénérative synchrone fréquence de commutation ultrasonique de 30 khz protection thermique et contre les surintensités mode de protection de la batterie contrôle et surveillance par usb mode convertisseur série usb pour kangaroo x2 limitation de courant configurable modes utilisateur personnalisés sorties moteur 12 bits modes d'entrée : analogique, r/c, série (texte clair ou paqueté), usb les sorties de puissance peuvent agir comme des étrangleurs de tension, des freins, ou être contrôlables robots de combat jusqu'à 100lb robots normaux et de loisir jusqu'à 300lb robots à entraînement différentiel véhicules électriques, jouets porteurs, trottinettes | prix: 4.9",contrôleur,4.9021588177601725
"Contrôleur de moteur CC simple 13 A, 5-30 V Cytron",Cytron,https://eu.robotshop.com//fr/products/controleur-moteur-cc-simple-13-a-5-30-v-cytron#,18.57,"le contrôleur de moteur cc simple 13 a, 5-30 v de cytron est une version améliorée du md10b qui est conçu pour piloter un moteur cc à balais à courant élevé jusqu'à 13 a en continu. il offre plusieurs améliorations par rapport au md10b, telles que la prise en charge des signaux pwm à antiphase verrouillée et à amplitude de signe, ainsi que l'utilisation de composants à semi-conducteurs complets qui se traduisent par un temps de réponse plus rapide et éliminent l'usure du relais mécanique.  fonctionnalités",non specifié,4.82,"description: le contrôleur de moteur cc simple 13 a, 5-30 v de cytron est une version améliorée du md10b qui est conçu pour piloter un moteur cc à balais à courant élevé jusqu'à 13 a en continu. il offre plusieurs améliorations par rapport au md10b, telles que la prise en charge des signaux pwm à antiphase verrouillée et à amplitude de signe, ainsi que l'utilisation de composants à semi-conducteurs complets qui se traduisent par un temps de réponse plus rapide et éliminent l'usure du relais mécanique.  fonctionnalités | caractéristiques: non specifié | prix: 2.97",contrôleur,2.9739977814079848
Blindage WiFi ESP8266,Makerfabs,https://eu.robotshop.com//fr/products/blindage-wifi-esp8266#,11.29,"le blindage wifi esp8266 est un module uart-wifi à ultra faible puissance. il est doté d'excellentes dimensions et de la technologie ulp, comparé à d'autres modules similaires. ce module est conçu spécialement pour les appareils mobiles et l'internet des objets (ido). ce blindage wifi est basé sur l'esp-12f, qui est la nouvelle version de l'esp-12 dotée de la puce wifi esp8266. ce blindage vous permet de rendre votre dispositif arduino facile à connecter au réseau et de le contrôler n'importe où. simple communication par interface uart et contrôle par commande at.",prend en charge l'interface de communication de données uart/gpio prend en charge le réseau intelligent smartlink prend en charge la mise à jour à distance du micrologiciel (ota),4.73,"description: le blindage wifi esp8266 est un module uart-wifi à ultra faible puissance. il est doté d'excellentes dimensions et de la technologie ulp, comparé à d'autres modules similaires. ce module est conçu spécialement pour les appareils mobiles et l'internet des objets (ido). ce blindage wifi est basé sur l'esp-12f, qui est la nouvelle version de l'esp-12 dotée de la puce wifi esp8266. ce blindage vous permet de rendre votre dispositif arduino facile à connecter au réseau et de le contrôler n'importe où. simple communication par interface uart et contrôle par commande at. | caractéristiques: prend en charge l'interface de communication de données uart/gpio prend en charge le réseau intelligent smartlink prend en charge la mise à jour à distance du micrologiciel (ota) | prix: 2.51",,2.5087859235779435
Kit de Soudure de Capteur et Générateur de Fil de Périmètre RobotShop,RobotShop,https://eu.robotshop.com//fr/products/kit-soudure-capteur-generateur-fil-perimetre-robotshop#,11.47,"le générateur de fils périmétriques robotshop et le kit de soudage par capteur sont largement utilisés dans l'industrie, en particulier dans les entrepôts où la manipulation est automatisée. les robots suivent une boucle de fil enfouie dans le sol. un courant alternatif d'intensité et de fréquence relativement faible entre 5kz et 40khz circule dans ce fil. le robot est équipé de capteurs inductifs, généralement basés sur un circuit réservoir (avec une fréquence de résonance égale ou proche de la fréquence de l'onde générée) qui mesure l'intensité du champ électromagnétique proche du sol.  la carte de générateur est basée sur la temporisation populaire ne555 et la carte de capteur inclut deux inductances. une chaîne de traitement (amplification, filtres, comparaison) permet de déterminer la position du robot à l'intérieur du fil. notez que le fil périmétrique n'est pas inclus, mais il est livré avec les composants du trou traversant.",non specifié,4.14,"description: le générateur de fils périmétriques robotshop et le kit de soudage par capteur sont largement utilisés dans l'industrie, en particulier dans les entrepôts où la manipulation est automatisée. les robots suivent une boucle de fil enfouie dans le sol. un courant alternatif d'intensité et de fréquence relativement faible entre 5kz et 40khz circule dans ce fil. le robot est équipé de capteurs inductifs, généralement basés sur un circuit réservoir (avec une fréquence de résonance égale ou proche de la fréquence de l'onde générée) qui mesure l'intensité du champ électromagnétique proche du sol.  la carte de générateur est basée sur la temporisation populaire ne555 et la carte de capteur inclut deux inductances. une chaîne de traitement (amplification, filtres, comparaison) permet de déterminer la position du robot à l'intérieur du fil. notez que le fil périmétrique n'est pas inclus, mais il est livré avec les composants du trou traversant. | caractéristiques: non specifié | prix: 2.52",capteur,2.523325759691945
Pilote de moteur à courant continu à double canal Cytron 10A 5-30V,Cytron,https://eu.robotshop.com//fr/products/pilote-moteur-courant-continu-double-canal-cytron-10a-5-30v#,27.08,"remarque : pas de protection contre l'inversion de polarité sur vmotor, veuillez vérifier la polarité avant la mise sous tension. le pilote de moteur à courant continu à double canal 10a 5-30v est la version à double canal du md10c qui est conçue pour piloter 2 moteurs à courant continu à balais avec un courant élevé allant jusqu'à 10 a en continu. comme le md10c, il prend également en charge les signaux pwm à antiphase verrouillée et à magnitude de signe.  il utilise des composants à semi-conducteurs complets qui permettent un temps de réponse plus rapide et éliminent l'usure du relais mécanique. entièrement nmos h-bridge pour une meilleure efficacité et aucun dissipateur de chaleur n'est requis.","courant moteur continu maximum : 10 a courant moteur crête : 30 a entrée logique (niveau haut) : 3 - 5,5 v entrée logique (niveau bas) : 0 - 0,5 v fréquence pwm maximale : 20 khz",4.74,"description: remarque : pas de protection contre l'inversion de polarité sur vmotor, veuillez vérifier la polarité avant la mise sous tension. le pilote de moteur à courant continu à double canal 10a 5-30v est la version à double canal du md10c qui est conçue pour piloter 2 moteurs à courant continu à balais avec un courant élevé allant jusqu'à 10 a en continu. comme le md10c, il prend également en charge les signaux pwm à antiphase verrouillée et à magnitude de signe.  il utilise des composants à semi-conducteurs complets qui permettent un temps de réponse plus rapide et éliminent l'usure du relais mécanique. entièrement nmos h-bridge pour une meilleure efficacité et aucun dissipateur de chaleur n'est requis. | caractéristiques: courant moteur continu maximum : 10 a courant moteur crête : 30 a entrée logique (niveau haut) : 3 - 5,5 v entrée logique (niveau bas) : 0 - 0,5 v fréquence pwm maximale : 20 khz | prix: 3.34",moteur,3.3350575791576103
Platine de Développement Microcontrôleur USB Teensy 4.0,PJRC,https://eu.robotshop.com//fr/products/platine-developpement-microcontroleur-usb-teensy-40#,27.43,"la platine de développement microcontrôleur usb teensy 4.0 est la dernière version de teensy. elle propose le microcontrôleur le plus rapide et des périphériques puissants dans le facteur de forme teensy 1,4 x 0,7 pouces. teensy 4.0 prend en charge la mise à l'échelle dynamique de l'horloge. contrairement aux microcontrôleurs traditionnels, où la modification de la vitesse d'horloge entraîne des débits en bauds erronés et d'autres problèmes, le matériel teensy 4.0 et la prise en charge logicielle de teensyduino pour les fonctions de synchronisation arduino sont conçus pour permettre des changements de vitesse dynamiques.  teensy 4.0 fournit également une fonction de mise hors tension. en connectant un bouton-poussoir à la broche on / off, l’alimentation 3,3 v peut être complètement désactivée en maintenant le bouton enfoncé pendant 5 secondes, puis rallumée par une brève pression sur le bouton. si une pile bouton est connectée au vbat, le rtc de teensy 4.0 continue également de suivre la date et l’heure lorsque l’appareil est hors tension.  ","bras cortex-m7 à 600 mhz 1024k de ram (512k est étroitement couplé) 2048k flash (64k réservé à la récupération et à l’émulation eeprom) 2 ports usb, tous deux 480 mbit / s 3 bus can (1 avec can fd) 2 audio numérique i2s 1 audio numérique s / pdif 1 sd audio (4 bits) sd natif 3 spi, tous avec fifo de 16 mots 3 i2c, tous avec une fifo de 4 octets 7 séries, toutes avec fifo de 4 octets 32 canaux dma à usage général 31 broches pwm 40 broches numériques, toutes capables d'interruption 14 broches analogiques, 2 can sur puce accélération cryptographique générateur de nombres aléatoires rtc pour date / heure flexio programmable pipeline de traitement des pixels déclenchement croisé périphérique gestion de mise en marche / arrêt",5.0,"description: la platine de développement microcontrôleur usb teensy 4.0 est la dernière version de teensy. elle propose le microcontrôleur le plus rapide et des périphériques puissants dans le facteur de forme teensy 1,4 x 0,7 pouces. teensy 4.0 prend en charge la mise à l'échelle dynamique de l'horloge. contrairement aux microcontrôleurs traditionnels, où la modification de la vitesse d'horloge entraîne des débits en bauds erronés et d'autres problèmes, le matériel teensy 4.0 et la prise en charge logicielle de teensyduino pour les fonctions de synchronisation arduino sont conçus pour permettre des changements de vitesse dynamiques.  teensy 4.0 fournit également une fonction de mise hors tension. en connectant un bouton-poussoir à la broche on / off, l’alimentation 3,3 v peut être complètement désactivée en maintenant le bouton enfoncé pendant 5 secondes, puis rallumée par une brève pression sur le bouton. si une pile bouton est connectée au vbat, le rtc de teensy 4.0 continue également de suivre la date et l’heure lorsque l’appareil est hors tension.   | caractéristiques: bras cortex-m7 à 600 mhz 1024k de ram (512k est étroitement couplé) 2048k flash (64k réservé à la récupération et à l’émulation eeprom) 2 ports usb, tous deux 480 mbit / s 3 bus can (1 avec can fd) 2 audio numérique i2s 1 audio numérique s / pdif 1 sd audio (4 bits) sd natif 3 spi, tous avec fifo de 16 mots 3 i2c, tous avec une fifo de 4 octets 7 séries, toutes avec fifo de 4 octets 32 canaux dma à usage général 31 broches pwm 40 broches numériques, toutes capables d'interruption 14 broches analogiques, 2 can sur puce accélération cryptographique générateur de nombres aléatoires rtc pour date / heure flexio programmable pipeline de traitement des pixels déclenchement croisé périphérique gestion de mise en marche / arrêt | prix: 3.35",microcontrôleur,3.3474449256629084
